delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,sa_lateness
INSTANCE_003,0.5,V1,4,0.9976600818897492,0.0,0.0
INSTANCE_003,0.5,V1,5,0.9241139826124164,0.0,0.0
INSTANCE_003,0.5,V1,6,1.085131765699195,0.0,0.0
INSTANCE_003,0.5,V1,7,1.419554215760268,0.0,0.0
INSTANCE_003,0.5,V1,8,0.9525106079077382,0.0,0.0
INSTANCE_003,0.5,V1,9,0.9547025018841144,0.0,0.0
INSTANCE_003,0.5,V1,10,0.99340200542335,0.0,0.0
INSTANCE_003,0.5,V1,11,0.9975290461370252,0.0,0.0
INSTANCE_003,0.5,V1,12,1.0980549731756724,0.0,0.0
INSTANCE_003,0.5,V1,13,1.323706115578749,0.0,0.0
INSTANCE_003,0.5,V1,14,0.9995787523817228,0.0,0.0
INSTANCE_003,0.5,V1,15,0.9516488441446742,0.0,0.0
INSTANCE_003,0.5,V1,16,1.1422304547810254,0.0,0.0
INSTANCE_003,0.5,V1,17,1.0719712279991411,0.0,0.0
INSTANCE_003,0.5,V1,18,1.153903139133133,0.0,0.0
INSTANCE_003,0.5,V1,19,1.0718567699021446,0.0,0.0
INSTANCE_003,0.5,V2,0,1.1595571711312622,0.0,0.0
INSTANCE_003,0.5,V2,1,1.0265599296804746,0.0,0.0
INSTANCE_003,0.5,V2,2,0.9324308558798414,0.0,0.0
INSTANCE_003,0.5,V2,3,1.1044253146328182,0.0,0.0
INSTANCE_003,0.5,V2,4,1.4021645813362258,20.54079934894924,20.54079934894924
INSTANCE_003,0.5,V2,5,1.1448046847804845,0.0,0.0
INSTANCE_003,0.5,V2,6,1.323706115578749,5.776522510994028,5.776522510994028
INSTANCE_003,0.5,V2,7,1.0439830175845648,0.0,0.0
INSTANCE_003,0.5,V2,8,0.9547025018841144,0.0,0.0
INSTANCE_003,0.5,V2,9,0.988489618059527,0.0,0.0
INSTANCE_003,0.5,V2,10,1.2170262149925093,0.0,0.0
INSTANCE_003,0.5,V2,11,1.167704362791332,0.0,0.0
INSTANCE_003,0.5,V2,12,1.1365853378946085,0.0,0.0
INSTANCE_003,0.5,V2,13,1.1690890500818183,0.0,0.0
INSTANCE_003,0.5,V2,14,1.1049113734112834,0.0,0.0
INSTANCE_003,0.5,V2,15,1.067896550925003,0.0,0.0
INSTANCE_003,0.5,V2,16,1.167094339839882,0.0,0.0
INSTANCE_003,0.5,V2,17,1.0635938190376404,0.0,0.0
INSTANCE_003,0.5,V2,18,1.004946172365598,0.0,0.0
INSTANCE_003,0.5,V2,19,1.007181758175017,0.0,0.0
INSTANCE_003,0.5,V3,0,1.0237060342378992,0.0,0.0
INSTANCE_003,0.5,V3,1,1.001064968341412,0.0,0.0
INSTANCE_003,0.5,V3,2,0.979546351449972,0.0,0.0
INSTANCE_003,0.5,V3,3,1.0199306231308554,0.0,0.0
INSTANCE_003,0.5,V3,4,0.9865782319571728,0.0,0.0
