delivery_date,trigger_fraction,shock,seed,total_distance_km,total_lateness_min,nr_distance,otd_num,otd_den,rsi,moved_stops,n_vehicles,n_unchanged,n_harm,runtime_ms,block_fully_unchanged,block_any_harm
INSTANCE_035,0.75,delay30,303,274.77860000000004,42.601666666666574,281.4062,45,48,0.5976190476190476,8,2,0,0,161.2071990966797,0,0
INSTANCE_035,0.75,p85,101,274.7785,0.0,281.4062,48,48,0.680952380952381,9,2,0,0,517.9719924926758,0,0
INSTANCE_035,0.75,p85,202,274.7785,0.0,281.4062,48,48,0.680952380952381,9,2,0,0,595.3106880187988,0,0
INSTANCE_035,0.75,p85,303,274.7785,0.0,281.4062,48,48,0.680952380952381,9,2,0,0,156.96263313293457,0,0
INSTANCE_035,0.75,p95,101,274.77860000000004,2.0368425000000343,281.4062,47,48,0.5976190476190476,8,2,0,0,529.9453735351562,0,0
INSTANCE_035,0.75,p95,202,274.77860000000004,2.0368425000000343,281.4062,47,48,0.5976190476190476,8,2,0,0,638.6806964874268,0,0
INSTANCE_035,0.75,p95,303,274.77860000000004,2.0368425000000343,281.4062,47,48,0.5976190476190476,8,2,0,0,153.68890762329102,0,0
INSTANCE_036,0.25,delay20,101,244.218,6.739999999999895,244.2179,26,27,0.7214285714285714,9,1,0,0,7097.547292709351,0,0
INSTANCE_036,0.25,delay20,202,244.218,6.739999999999782,244.2179,26,27,0.7988095238095239,7,1,0,0,6700.548887252808,0,0
INSTANCE_036,0.25,delay20,303,244.218,6.739999999999782,244.2179,26,27,0.7988095238095239,7,1,0,0,1863.719701766968,0,0
INSTANCE_036,0.25,delay30,101,244.218,18.05666666666628,244.2179,25,27,0.7988095238095239,7,1,0,0,6672.479152679443,0,0
INSTANCE_036,0.25,delay30,202,244.218,18.05666666666628,244.2179,25,27,0.7988095238095239,7,1,0,0,7702.995777130127,0,0
INSTANCE_036,0.25,delay30,303,244.218,18.05666666666628,244.2179,25,27,0.7988095238095239,7,1,0,0,1786.3483428955078,0,0
INSTANCE_036,0.25,p85,101,244.218,11.887449500000116,244.2179,26,27,0.7214285714285714,9,1,0,0,6210.071802139282,0,0
INSTANCE_036,0.25,p85,202,244.218,11.88744950000023,244.2179,26,27,0.7988095238095239,7,1,0,0,8151.216983795166,0,0
INSTANCE_036,0.25,p85,303,244.218,11.887449500000116,244.2179,26,27,0.7214285714285714,9,1,0,0,1904.477596282959,0,0
INSTANCE_036,0.25,p95,101,244.218,58.03595916666666,244.2179,24,27,0.7214285714285714,9,1,0,0,6419.637680053711,0,0
INSTANCE_036,0.25,p95,202,244.218,58.03595916666666,244.2179,24,27,0.7988095238095239,7,1,0,0,7228.487968444824,0,0
INSTANCE_036,0.25,p95,303,244.218,58.03595916666666,244.2179,24,27,0.7214285714285714,9,1,0,0,1877.827882766724,0,0
INSTANCE_036,0.5,delay20,101,244.218,6.739999999999782,244.2179,26,27,0.6703296703296704,7,1,0,0,1704.242706298828,0,0
INSTANCE_036,0.5,delay20,202,244.218,6.739999999999782,244.2179,26,27,0.6703296703296704,7,1,0,0,2146.3043689727783,0,0
INSTANCE_036,0.5,delay20,303,244.218,6.739999999999782,244.2179,26,27,0.6703296703296704,7,1,0,0,560.3382587432861,0,0
INSTANCE_036,0.5,delay30,101,244.218,18.05666666666628,244.2179,25,27,0.6703296703296704,7,1,0,0,2046.8578338623047,0,0
INSTANCE_036,0.5,delay30,202,244.218,18.05666666666628,244.2179,25,27,0.6703296703296704,7,1,0,0,2017.247438430786,0,0
INSTANCE_036,0.5,delay30,303,244.218,18.05666666666628,244.2179,25,27,0.6703296703296704,7,1,0,0,547.1024513244629,0,0
INSTANCE_036,0.5,p85,101,244.218,0.4703728333333856,244.2179,26,27,0.5494505494505495,9,1,0,0,1771.9409465789795,0,0
INSTANCE_036,0.5,p85,202,244.218,0.4703728333333856,244.2179,26,27,0.5494505494505495,9,1,0,0,2146.939277648926,0,0
INSTANCE_036,0.5,p85,303,244.218,0.4703728333333856,244.2179,26,27,0.5494505494505495,9,1,0,0,497.5733757019043,0,0
INSTANCE_036,0.5,p95,101,244.218,12.589034166666693,244.2179,26,27,0.5494505494505495,9,1,0,0,1971.3711738586424,0,0
INSTANCE_036,0.5,p95,202,244.218,12.589034166666693,244.2179,26,27,0.6703296703296704,7,1,0,0,2107.194185256958,0,0
INSTANCE_036,0.5,p95,303,244.218,12.589034166666693,244.2179,26,27,0.6703296703296704,7,1,0,0,556.4980506896973,0,0
INSTANCE_036,0.75,delay20,101,244.218,6.739999999999782,244.2179,26,27,0.238095238095238,7,1,0,0,270.6115245819092,0,0
INSTANCE_036,0.75,delay20,202,244.218,6.739999999999782,244.2179,26,27,0.238095238095238,7,1,0,0,322.3600387573242,0,0
INSTANCE_036,0.75,delay20,303,244.218,6.739999999999782,244.2179,26,27,0.238095238095238,7,1,0,0,83.68635177612305,0,0
INSTANCE_036,0.75,delay30,101,244.218,18.05666666666628,244.2179,25,27,0.238095238095238,7,1,0,0,259.5217227935791,0,0
INSTANCE_036,0.75,delay30,202,244.218,18.05666666666628,244.2179,25,27,0.238095238095238,7,1,0,0,332.0951461791992,0,0
INSTANCE_036,0.75,delay30,303,244.218,18.05666666666628,244.2179,25,27,0.238095238095238,7,1,0,0,102.1263599395752,0,0
INSTANCE_036,0.75,p85,101,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,266.77560806274414,0,0
INSTANCE_036,0.75,p85,202,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,309.2024326324463,0,0
INSTANCE_036,0.75,p85,303,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,83.00447463989258,0,0
INSTANCE_036,0.75,p95,101,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,272.92561531066895,0,0
INSTANCE_036,0.75,p95,202,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,345.48306465148926,0,0
INSTANCE_036,0.75,p95,303,244.218,0.0,244.2179,27,27,0.238095238095238,7,1,0,0,84.32531356811523,0,0
