delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,liu_lateness
INSTANCE_017,0.25,V2,8,0.8925702515194052,0.0,0.0
INSTANCE_017,0.25,V2,9,1.3951223470865473,0.0,0.0
INSTANCE_017,0.25,V3,0,1.363511215906526,119.35308893620402,65.77602084489365
INSTANCE_017,0.25,V3,1,1.083964907944071,8.701548376487494,0.638024888848804
INSTANCE_017,0.25,V3,2,0.9310991020127204,0.0,0.0
INSTANCE_017,0.25,V3,3,1.2002136116675404,41.24847294930487,16.148233538927343
INSTANCE_017,0.25,V3,4,1.0237060342378992,0.0,0.0
INSTANCE_017,0.25,V3,5,1.1691862211197477,32.56152756836957,8.107868373975066
INSTANCE_017,0.25,V3,6,0.981617781319966,0.0,0.0
INSTANCE_017,0.25,V3,7,0.8789033483894577,0.0,0.0
INSTANCE_017,0.25,V3,8,0.8752691297583073,0.0,0.0
INSTANCE_017,0.25,V3,9,1.0661790585999142,5.928487455349227,0.0
INSTANCE_017,0.5,V1,0,1.0079500127579115,0.0,0.0
INSTANCE_017,0.5,V1,1,0.9241139826124164,0.0,0.0
INSTANCE_017,0.5,V1,2,0.988489618059527,0.0,0.0
INSTANCE_017,0.5,V1,3,1.0677365243569064,0.3542849321761423,0.0
INSTANCE_017,0.5,V1,4,0.932747492274802,0.0,0.0
INSTANCE_017,0.5,V1,5,0.9765227659780942,0.0,0.0
INSTANCE_017,0.5,V1,6,0.9686780178825674,0.0,0.0
INSTANCE_017,0.5,V1,7,0.9320438320700551,0.0,0.0
INSTANCE_017,0.5,V1,8,0.8967142705282911,0.0,0.0
INSTANCE_017,0.5,V1,9,0.9405684112303276,0.0,0.0
INSTANCE_017,0.5,V2,0,0.959116663272508,0.0,0.0
INSTANCE_017,0.5,V2,1,0.9410308257675228,0.0,0.0
INSTANCE_017,0.5,V2,2,1.085131765699195,0.0,0.0
INSTANCE_017,0.5,V2,3,1.0325425692032049,0.0,0.0
INSTANCE_017,0.5,V2,4,0.9865782319571728,0.0,0.0
INSTANCE_017,0.5,V2,5,1.2405465364027972,0.0,0.0
INSTANCE_017,0.5,V2,6,0.9147226446552368,0.0,0.0
INSTANCE_017,0.5,V2,7,0.9516488441446742,0.0,0.0
INSTANCE_017,0.5,V2,8,0.8840186588827298,0.0,0.0
INSTANCE_017,0.5,V2,9,0.8885707678625163,0.0,0.0
INSTANCE_017,0.5,V3,0,0.8616377346865536,0.0,0.0
INSTANCE_017,0.5,V3,1,1.0835239337129088,5.362358653547858,0.0
INSTANCE_017,0.5,V3,2,0.9341773555741504,0.0,0.0
INSTANCE_017,0.5,V3,3,0.9376469833370062,0.0,0.0
INSTANCE_017,0.5,V3,4,0.9775531054198174,0.0,0.0
INSTANCE_017,0.5,V3,5,1.069160783951708,3.8658620799285472,0.0
INSTANCE_017,0.5,V3,6,0.9642708498237232,0.0,0.0
INSTANCE_017,0.5,V3,7,0.9601441557445912,0.0,0.0
INSTANCE_017,0.5,V3,8,1.049949924538092,1.8642826376237736,1.8642826376237736
INSTANCE_017,0.5,V3,9,1.0332808558291229,0.1275323688363414,0.1275323688363414
INSTANCE_017,0.75,V1,0,0.9995787523817228,0.0,0.0
INSTANCE_017,0.75,V1,1,1.2767554651595572,2.579001104623785,2.579001104623785
INSTANCE_017,0.75,V1,2,0.916180219798298,0.0,0.0
INSTANCE_017,0.75,V1,3,0.9514081523261984,0.0,0.0
INSTANCE_017,0.75,V1,4,0.8907514742588356,0.0,0.0
INSTANCE_017,0.75,V1,5,0.9159238562700172,0.0,0.0
INSTANCE_017,0.75,V1,6,0.8980868940931249,0.0,0.0
INSTANCE_017,0.75,V1,7,1.024227123207293,0.0,0.0
INSTANCE_017,0.75,V1,8,0.9129208272330664,0.0,0.0
INSTANCE_017,0.75,V1,9,1.1173211796252085,0.0,0.0
INSTANCE_017,0.75,V2,0,1.0845369842778954,0.0,0.0
INSTANCE_017,0.75,V2,1,0.9471878234330842,0.0,0.0
INSTANCE_017,0.75,V2,2,1.026209413070951,0.0,0.0
INSTANCE_017,0.75,V2,3,0.881431287198195,0.0,0.0
INSTANCE_017,0.75,V2,4,1.1311065405886327,0.0,0.0
INSTANCE_017,0.75,V2,5,0.9283286603166648,0.0,0.0
INSTANCE_017,0.75,V2,6,1.0093114265817889,0.0,0.0
INSTANCE_017,0.75,V2,7,0.9410056319518668,0.0,0.0
INSTANCE_017,0.75,V2,8,0.8560890846911426,0.0,0.0
INSTANCE_017,0.75,V2,9,0.8679353358630678,0.0,0.0
INSTANCE_017,0.75,V3,0,1.3032943998413409,9.891607293746231,1.0283456255297097
INSTANCE_017,0.75,V3,1,0.99340200542335,0.0,0.0
INSTANCE_017,0.75,V3,2,1.1422304547810254,2.460157945970195,0.0
INSTANCE_017,0.75,V3,3,0.9026102255194182,0.0,0.0
INSTANCE_017,0.75,V3,4,0.9268717304422636,0.0,0.0
INSTANCE_017,0.75,V3,5,1.0076298823575358,0.0,0.0
INSTANCE_017,0.75,V3,6,1.0208357373528285,0.0,0.0
INSTANCE_017,0.75,V3,7,1.2525117019197392,6.957427204286773,0.0
INSTANCE_017,0.75,V3,8,0.8907048561511263,0.0,0.0
INSTANCE_017,0.75,V3,9,0.9662476228616288,0.0,0.0
INSTANCE_023,0.25,V1,0,1.0595907780904756,0.0,0.0
INSTANCE_023,0.25,V1,1,0.8679353358630678,0.0,0.0
INSTANCE_023,0.25,V1,2,0.8795913319636254,0.0,0.0
INSTANCE_023,0.25,V1,3,0.881431287198195,0.0,0.0
INSTANCE_023,0.25,V1,4,1.0039139762148528,0.0,0.0
INSTANCE_023,0.25,V1,5,0.98743059768449,0.0,0.0
INSTANCE_023,0.25,V1,6,0.9032982593501672,0.0,0.0
INSTANCE_023,0.25,V1,7,0.955597594535316,0.0,0.0
INSTANCE_023,0.25,V1,8,0.8823579906758764,0.0,0.0
INSTANCE_023,0.25,V1,9,0.9129444607249626,0.0,0.0
INSTANCE_023,0.25,V2,0,0.9529172306337892,0.0,0.0
INSTANCE_023,0.25,V2,1,1.085208594166825,7.447265616716663,0.0
INSTANCE_023,0.25,V2,2,0.9941478126347248,0.0,0.0
